1, [1], [(1+0j)], (-0.9615384615384615+0.19230769230769232j), blue
1, [1], [(0.70711-0.70711j)], (-0.5439307692307691+0.8158961538461538j), red
1, [1], [-1j], (0.19230769230769232+0.9615384615384615j), green
1, [1], [(-0.70711-0.70711j)], (0.8158961538461538+0.5439307692307691j), orange
1, [1], [(-1-0j)], (0.9615384615384615-0.19230769230769232j), black
1, [1], [(-0.70711+0.70711j)], (0.5439307692307691-0.8158961538461538j), purple
1, [1], [(-0+1j)], (-0.19230769230769232-0.9615384615384615j), cyan
1, [1], [(0.70711+0.70711j)], (-0.8158961538461538-0.5439307692307691j), magenta
2, [0, 1], [0, (1+0j)], (0.8875739644970414-0.3698224852071006j), blue
2, [0, 1], [0, (0.70711-0.70711j)], (0.36610724852071-0.8891176035502959j), red
2, [0, 1], [0, -1j], (-0.3698224852071006-0.8875739644970414j), green
2, [0, 1], [0, (-0.70711-0.70711j)], (-0.8891176035502959-0.36610724852071j), orange
2, [0, 1], [0, (-1-0j)], (-0.8875739644970414+0.3698224852071006j), black
2, [0, 1], [0, (-0.70711+0.70711j)], (-0.36610724852071+0.8891176035502959j), purple
2, [0, 1], [0, (-0+1j)], (0.3698224852071006+0.8875739644970414j), cyan
2, [0, 1], [0, (0.70711+0.70711j)], (0.8891176035502959+0.36610724852071j), magenta
3, [1, 1], [(1+0j), (0.70711-0.70711j)], (-0.5954312130177515-0.6968099112426036j), blue
3, [1, 1], [(0.70711-0.70711j), -1j], (-0.9137532544378697-0.07167781065088763j), red
3, [1, 1], [-1j, (-0.70711-0.70711j)], (-0.6968099112426036+0.5954312130177515j), green
3, [1, 1], [(-0.70711-0.70711j), (-1-0j)], (-0.07167781065088763+0.9137532544378697j), orange
3, [1, 1], [(-1-0j), (-0.70711+0.70711j)], (0.5954312130177515+0.6968099112426036j), black
3, [1, 1], [(-0.70711+0.70711j), (-0+1j)], (0.9137532544378697+0.07167781065088763j), purple
3, [1, 1], [(-0+1j), (0.70711+0.70711j)], (0.6968099112426036-0.5954312130177515j), cyan
3, [1, 1], [(0.70711+0.70711j), (1+0j)], (0.07167781065088763-0.9137532544378697j), magenta
