1, [1], [(1+0j)], (0.38461538461538464-1.923076923076923j), blue
1, [1], [(-1+0j)], (-0.38461538461538464+1.923076923076923j), red
2, [0, 1], [0, (1+0j)], (-3.5502958579881656-1.4792899408284024j), blue
2, [0, 1], [0, (-1+0j)], (3.5502958579881656+1.4792899408284024j), red
3, [1, 1], [(1+0j), (-1+0j)], (3.93491124260355-0.44378698224852053j), blue
3, [1, 1], [(-1+0j), (1+0j)], (-3.93491124260355+0.44378698224852053j), red
4, [0, 0, 1], [0, 0, (1+0j)], (-4.210286754665454+6.25853436504324j), blue
4, [0, 0, 1], [0, 0, (-1+0j)], (4.210286754665454-6.25853436504324j), red
5, [1, 0, 1], [(1+0j), 0, (-1+0j)], (4.594902139280839-8.181611288120163j), blue
5, [1, 0, 1], [(-1+0j), 0, (1+0j)], (-4.594902139280839+8.181611288120163j), red
6, [0, 1, 1], [0, (1+0j), (-1+0j)], (0.659990896677288-7.7378243058716425j), blue
6, [0, 1, 1], [0, (-1+0j), (1+0j)], (-0.659990896677288+7.7378243058716425j), red
7, [1, 1, 1], [(1+0j), (-1+0j), (1+0j)], (-0.27537551206190347+5.814747382794719j), blue
7, [1, 1, 1], [(-1+0j), (1+0j), (-1+0j)], (0.27537551206190347-5.814747382794719j), red
8, [0, 0, 0, 1], [0, 0, 0, (1+0j)], (10.416301950211826+10.503833899373271j), blue
8, [0, 0, 0, 1], [0, 0, 0, (-1+0j)], (-10.416301950211826-10.503833899373271j), red
9, [1, 0, 0, 1], [(1+0j), 0, 0, (-1+0j)], (-10.031686565596441-12.426910822450195j), blue
9, [1, 0, 0, 1], [(-1+0j), 0, 0, (1+0j)], (10.031686565596441+12.426910822450195j), red
10, [0, 1, 0, 1], [0, (1+0j), 0, (-1+0j)], (-13.966597808199992-11.983123840201674j), blue
10, [0, 1, 0, 1], [0, (-1+0j), 0, (1+0j)], (13.966597808199992+11.983123840201674j), red
11, [1, 1, 0, 1], [(1+0j), (-1+0j), 0, (1+0j)], (14.351213192815376+10.060046917124751j), blue
11, [1, 1, 0, 1], [(-1+0j), (1+0j), 0, (-1+0j)], (-14.351213192815376-10.060046917124751j), red
12, [0, 0, 1, 1], [0, 0, (1+0j), (-1+0j)], (-14.62658870487728-4.245299534330031j), blue
12, [0, 0, 1, 1], [0, 0, (-1+0j), (1+0j)], (14.62658870487728+4.245299534330031j), red
13, [1, 0, 1, 1], [(1+0j), 0, (-1+0j), (1+0j)], (15.011204089492665+2.3222226112531086j), blue
13, [1, 0, 1, 1], [(-1+0j), 0, (1+0j), (-1+0j)], (-15.011204089492665-2.3222226112531086j), red
14, [0, 1, 1, 1], [0, (1+0j), (-1+0j), (1+0j)], (11.076292846889114+2.7660095935016287j), blue
14, [0, 1, 1, 1], [0, (-1+0j), (1+0j), (-1+0j)], (-11.076292846889114-2.7660095935016287j), red
