1, [1], [(1+0j)], (-0.5+0.5j), blue
1, [1], [(0.95106+0.30902j)], (-0.63004+0.32101999999999997j), red
1, [1], [(0.80902+0.58779j)], (-0.6984049999999999+0.11061499999999996j), green
1, [1], [(0.58779+0.80902j)], (-0.6984049999999999-0.11061499999999996j), orange
1, [1], [(0.30902+0.95106j)], (-0.63004-0.32101999999999997j), black
1, [1], [1j], (-0.5-0.5j), purple
1, [1], [(-0.30902+0.95106j)], (-0.32101999999999997-0.63004j), cyan
1, [1], [(-0.58779+0.80902j)], (-0.11061499999999996-0.6984049999999999j), magenta
1, [1], [(-0.80902+0.58779j)], (0.11061499999999996-0.6984049999999999j), yellow
1, [1], [(-0.95106+0.30902j)], (0.32101999999999997-0.63004j), brown
1, [1], [(-1+0j)], (0.5-0.5j), lime
1, [1], [(-0.95106-0.30902j)], (0.63004-0.32101999999999997j), teal
1, [1], [(-0.80902-0.58779j)], (0.6984049999999999-0.11061499999999996j), pink
1, [1], [(-0.58779-0.80902j)], (0.6984049999999999+0.11061499999999996j), lavender
1, [1], [(-0.30902-0.95106j)], (0.63004+0.32101999999999997j), maroon
1, [1], [(-0-1j)], (0.5+0.5j), olive
1, [1], [(0.30902-0.95106j)], (0.32101999999999997+0.63004j), navy
1, [1], [(0.58779-0.80902j)], (0.11061499999999996+0.6984049999999999j), aquamarine
1, [1], [(0.80902-0.58779j)], (-0.11061499999999996+0.6984049999999999j), gold
1, [1], [(0.95106-0.30902j)], (-0.32101999999999997+0.63004j), coral
2, [0, 1], [0, (1+0j)], -0.5j, blue
2, [0, 1], [0, (0.95106+0.30902j)], (0.15451-0.47553j), red
2, [0, 1], [0, (0.80902+0.58779j)], (0.293895-0.40451j), green
2, [0, 1], [0, (0.58779+0.80902j)], (0.40451-0.293895j), orange
2, [0, 1], [0, (0.30902+0.95106j)], (0.47553-0.15451j), black
2, [0, 1], [0, 1j], (0.5+0j), purple
2, [0, 1], [0, (-0.30902+0.95106j)], (0.47553+0.15451j), cyan
2, [0, 1], [0, (-0.58779+0.80902j)], (0.40451+0.293895j), magenta
2, [0, 1], [0, (-0.80902+0.58779j)], (0.293895+0.40451j), yellow
2, [0, 1], [0, (-0.95106+0.30902j)], (0.15451+0.47553j), brown
2, [0, 1], [0, (-1+0j)], 0.5j, lime
2, [0, 1], [0, (-0.95106-0.30902j)], (-0.15451+0.47553j), teal
2, [0, 1], [0, (-0.80902-0.58779j)], (-0.293895+0.40451j), pink
2, [0, 1], [0, (-0.58779-0.80902j)], (-0.40451+0.293895j), lavender
2, [0, 1], [0, (-0.30902-0.95106j)], (-0.47553+0.15451j), maroon
2, [0, 1], [0, (-0-1j)], (-0.5+0j), olive
2, [0, 1], [0, (0.30902-0.95106j)], (-0.47553-0.15451j), navy
2, [0, 1], [0, (0.58779-0.80902j)], (-0.40451-0.293895j), aquamarine
2, [0, 1], [0, (0.80902-0.58779j)], (-0.293895-0.40451j), gold
2, [0, 1], [0, (0.95106-0.30902j)], (-0.15451-0.47553j), coral
3, [1, 1], [(1+0j), (0.95106+0.30902j)], (-0.34548999999999996+0.024469999999999992j), blue
3, [1, 1], [(0.95106+0.30902j), (0.80902+0.58779j)], (-0.336145-0.08349000000000001j), red
3, [1, 1], [(0.80902+0.58779j), (0.58779+0.80902j)], (-0.29389499999999996-0.18328000000000005j), green
3, [1, 1], [(0.58779+0.80902j), (0.30902+0.95106j)], (-0.22287499999999993-0.26512499999999994j), orange
3, [1, 1], [(0.30902+0.95106j), 1j], (-0.13004000000000004-0.32101999999999997j), black
3, [1, 1], [1j, (-0.30902+0.95106j)], (-0.024469999999999992-0.34548999999999996j), purple
3, [1, 1], [(-0.30902+0.95106j), (-0.58779+0.80902j)], (0.08349000000000001-0.336145j), cyan
3, [1, 1], [(-0.58779+0.80902j), (-0.80902+0.58779j)], (0.18328000000000005-0.29389499999999996j), magenta
3, [1, 1], [(-0.80902+0.58779j), (-0.95106+0.30902j)], (0.26512499999999994-0.22287499999999993j), yellow
3, [1, 1], [(-0.95106+0.30902j), (-1+0j)], (0.32101999999999997-0.13004000000000004j), brown
3, [1, 1], [(-1+0j), (-0.95106-0.30902j)], (0.34548999999999996-0.024469999999999992j), lime
3, [1, 1], [(-0.95106-0.30902j), (-0.80902-0.58779j)], (0.336145+0.08349000000000001j), teal
3, [1, 1], [(-0.80902-0.58779j), (-0.58779-0.80902j)], (0.29389499999999996+0.18328000000000005j), pink
3, [1, 1], [(-0.58779-0.80902j), (-0.30902-0.95106j)], (0.22287499999999993+0.26512499999999994j), lavender
3, [1, 1], [(-0.30902-0.95106j), (-0-1j)], (0.13004000000000004+0.32101999999999997j), maroon
3, [1, 1], [(-0-1j), (0.30902-0.95106j)], (0.024469999999999992+0.34548999999999996j), olive
3, [1, 1], [(0.30902-0.95106j), (0.58779-0.80902j)], (-0.08349000000000001+0.336145j), navy
3, [1, 1], [(0.58779-0.80902j), (0.80902-0.58779j)], (-0.18328000000000005+0.29389499999999996j), aquamarine
3, [1, 1], [(0.80902-0.58779j), (0.95106-0.30902j)], (-0.26512499999999994+0.22287499999999993j), gold
3, [1, 1], [(0.95106-0.30902j), (1+0j)], (-0.32101999999999997+0.13004000000000004j), coral
