1, [1], [(1+0j)], (-0.5+0.5j), blue
1, [1], [(0.95949+0.28173j)], (-0.62061+0.33887999999999996j), red
1, [1], [(0.84125+0.54064j)], (-0.690945+0.15030500000000002j), green
1, [1], [(0.65486+0.75575j)], (-0.7053050000000001-0.05044500000000002j), orange
1, [1], [(0.41542+0.90963j)], (-0.662525-0.24710500000000002j), black
1, [1], [(0.14231+0.98982j)], (-0.566065-0.423755j), purple
1, [1], [(-0.14231+0.98982j)], (-0.423755-0.566065j), cyan
1, [1], [(-0.41542+0.90963j)], (-0.24710500000000002-0.662525j), magenta
1, [1], [(-0.65486+0.75575j)], (-0.05044500000000002-0.7053050000000001j), yellow
1, [1], [(-0.84125+0.54064j)], (0.15030500000000002-0.690945j), brown
1, [1], [(-0.95949+0.28173j)], (0.33887999999999996-0.62061j), lime
1, [1], [(-1+0j)], (0.5-0.5j), teal
1, [1], [(-0.95949-0.28173j)], (0.62061-0.33887999999999996j), pink
1, [1], [(-0.84125-0.54064j)], (0.690945-0.15030500000000002j), lavender
1, [1], [(-0.65486-0.75575j)], (0.7053050000000001+0.05044500000000002j), maroon
1, [1], [(-0.41542-0.90963j)], (0.662525+0.24710500000000002j), olive
1, [1], [(-0.14231-0.98982j)], (0.566065+0.423755j), navy
1, [1], [(0.14231-0.98982j)], (0.423755+0.566065j), aquamarine
1, [1], [(0.41542-0.90963j)], (0.24710500000000002+0.662525j), gold
1, [1], [(0.65486-0.75575j)], (0.05044500000000002+0.7053050000000001j), coral
1, [1], [(0.84125-0.54064j)], (-0.15030500000000002+0.690945j), blue
1, [1], [(0.95949-0.28173j)], (-0.33887999999999996+0.62061j), red
2, [0, 1], [0, (1+0j)], -0.5j, blue
2, [0, 1], [0, (0.95949+0.28173j)], (0.140865-0.479745j), red
2, [0, 1], [0, (0.84125+0.54064j)], (0.27032-0.420625j), green
2, [0, 1], [0, (0.65486+0.75575j)], (0.377875-0.32743j), orange
2, [0, 1], [0, (0.41542+0.90963j)], (0.454815-0.20771j), black
2, [0, 1], [0, (0.14231+0.98982j)], (0.49491-0.071155j), purple
2, [0, 1], [0, (-0.14231+0.98982j)], (0.49491+0.071155j), cyan
2, [0, 1], [0, (-0.41542+0.90963j)], (0.454815+0.20771j), magenta
2, [0, 1], [0, (-0.65486+0.75575j)], (0.377875+0.32743j), yellow
2, [0, 1], [0, (-0.84125+0.54064j)], (0.27032+0.420625j), brown
2, [0, 1], [0, (-0.95949+0.28173j)], (0.140865+0.479745j), lime
2, [0, 1], [0, (-1+0j)], 0.5j, teal
2, [0, 1], [0, (-0.95949-0.28173j)], (-0.140865+0.479745j), pink
2, [0, 1], [0, (-0.84125-0.54064j)], (-0.27032+0.420625j), lavender
2, [0, 1], [0, (-0.65486-0.75575j)], (-0.377875+0.32743j), maroon
2, [0, 1], [0, (-0.41542-0.90963j)], (-0.454815+0.20771j), olive
2, [0, 1], [0, (-0.14231-0.98982j)], (-0.49491+0.071155j), navy
2, [0, 1], [0, (0.14231-0.98982j)], (-0.49491-0.071155j), aquamarine
2, [0, 1], [0, (0.41542-0.90963j)], (-0.454815-0.20771j), gold
2, [0, 1], [0, (0.65486-0.75575j)], (-0.377875-0.32743j), coral
2, [0, 1], [0, (0.84125-0.54064j)], (-0.27032-0.420625j), blue
2, [0, 1], [0, (0.95949-0.28173j)], (-0.140865-0.479745j), red
