(0.0,0.5)
(-0.433015,0.25)
(-0.433015,-0.25)
(0.0,-0.5)
(0.433015,-0.25)
(0.433015,0.25)
(0.06698500000000002,0.75)
(-0.61603,0.4330149999999999)
(-0.6830149999999999,-0.316985)
(-0.06698500000000002,-0.75)
(0.61603,-0.4330149999999999)
(0.6830149999999999,0.316985)
(-0.25,0.25)
(-0.34150749999999996,-0.09150749999999999)
(-0.09150749999999999,-0.34150749999999996)
(0.25,-0.25)
(0.34150749999999996,0.09150749999999999)
(0.09150749999999999,0.34150749999999996)
(0.15849250000000004,0.40849250000000004)
(-0.2745225,0.34150749999999996)
(-0.4330149999999999,-0.06698500000000002)
(-0.15849250000000004,-0.40849250000000004)
(0.2745225,-0.34150749999999996)
(0.4330149999999999,0.06698500000000002)
(-0.34150749999999996,0.40849250000000004)
(-0.5245225,-0.09150749999999996)
(-0.18301499999999998,-0.5)
(0.34150749999999996,-0.40849250000000004)
(0.5245225,0.09150749999999996)
(0.18301499999999998,0.5)
(-0.024522499999999975,0.40849250000000004)
(-0.36602999999999997,0.18301499999999993)
(-0.34150749999999996,-0.22547750000000003)
(0.024522499999999975,-0.40849250000000004)
(0.36602999999999997,-0.18301499999999993)
(0.34150749999999996,0.22547750000000003)
(-0.25,0.0)
(-0.125,-0.2165075)
(0.125,-0.2165075)
(0.25,0.0)
(0.125,0.2165075)
(-0.125,0.2165075)
(0.375,0.28349250000000004)
(-0.05801499999999998,0.46650749999999996)
(-0.4330149999999999,0.18301499999999998)
(-0.375,-0.28349250000000004)
(0.05801499999999998,-0.46650749999999996)
(0.4330149999999999,-0.18301499999999998)
(-0.125,0.28349250000000004)
(-0.308015,0.03349250000000001)
(-0.18301499999999998,-0.25)
(0.125,-0.28349250000000004)
(0.308015,-0.03349250000000001)
(0.18301499999999998,0.25)
(0.19198500000000002,0.5334925)
(-0.36602999999999997,0.4330149999999999)
(-0.5580149999999999,-0.10047750000000003)
(-0.19198500000000002,-0.5334925)
(0.36602999999999997,-0.4330149999999999)
(0.5580149999999999,0.10047750000000003)
(-0.375,0.03349250000000001)
(-0.21650749999999996,-0.308015)
(0.1584925,-0.34150749999999996)
(0.375,-0.03349250000000001)
(0.21650749999999996,0.308015)
(-0.1584925,0.34150749999999996)
(0.28349250000000004,0.19198500000000004)
(-0.024522500000000003,0.34150749999999996)
(-0.3080149999999999,0.14952249999999997)
(-0.28349250000000004,-0.19198500000000004)
(0.024522500000000003,-0.34150749999999996)
(0.3080149999999999,-0.14952249999999997)
(-0.21650749999999996,0.19198500000000004)
(-0.2745225,-0.09150749999999996)
(-0.05801499999999998,-0.28349250000000004)
(0.21650749999999996,-0.19198500000000004)
(0.2745225,0.09150749999999996)
(0.05801499999999998,0.28349250000000004)
(0.22547750000000003,0.40849250000000004)
(-0.24102999999999997,0.3995224999999999)
(-0.46650749999999996,-0.008970000000000034)
(-0.22547750000000003,-0.40849250000000004)
(0.24102999999999997,-0.3995224999999999)
(0.46650749999999996,0.008970000000000034)
(-0.125,-0.125)
(0.045753749999999996,-0.17075374999999998)
(0.17075374999999998,-0.045753749999999996)
(0.125,0.125)
(-0.045753749999999996,0.17075374999999998)
(-0.17075374999999998,0.045753749999999996)
(0.54575375,0.32924625)
(-0.012261250000000001,0.6372612499999999)
(-0.5580149999999999,0.308015)
(-0.54575375,-0.32924625)
(0.012261250000000001,-0.6372612499999999)
(0.5580149999999999,-0.308015)
(0.045753749999999996,0.32924625)
(-0.26226125,0.20424625000000002)
(-0.308015,-0.125)
(-0.045753749999999996,-0.32924625)
(0.26226125,-0.20424625000000002)
(0.308015,0.125)
(0.23773875,0.70424625)
(-0.49102999999999997,0.5580149999999999)
(-0.72876875,-0.14623125000000003)
(-0.23773875,-0.70424625)
(0.49102999999999997,-0.5580149999999999)
(0.72876875,0.14623125000000003)
(-0.20424625000000002,0.07924625000000002)
(-0.17075374999999998,-0.13726125)
(0.03349250000000001,-0.21650749999999996)
(0.20424625000000002,-0.07924625000000002)
(0.17075374999999998,0.13726125)
(-0.03349250000000001,0.21650749999999996)
(0.32924625,0.36273875000000005)
(-0.1495225,0.46650749999999996)
(-0.4787687499999999,0.10376874999999997)
(-0.32924625,-0.36273875000000005)
(0.1495225,-0.46650749999999996)
(0.4787687499999999,-0.10376874999999997)
(-0.17075374999999998,0.36273875000000005)
(-0.3995225,0.033492500000000036)
(-0.22876874999999997,-0.32924625)
(0.17075374999999998,-0.36273875000000005)
(0.3995225,-0.033492500000000036)
(0.22876874999999997,0.32924625)
(0.10047750000000003,0.5334925)
(-0.41178374999999995,0.3537687499999999)
(-0.5122612499999999,-0.17972375000000002)
(-0.10047750000000003,-0.5334925)
(0.41178374999999995,-0.3537687499999999)
(0.5122612499999999,0.17972375000000002)
