n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), red
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), green
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), orange
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), black
1, [1], [(-1-0j)], (-1+0j), purple
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), cyan
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), magenta
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), yellow
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), brown
2, [1, 0], [(1+0j), 0], (-0.3-0.6j), blue
2, [1, 0], [(0.80902-0.58779j), 0], (-0.59538-0.309075j), red
2, [1, 0], [(0.30902-0.95106j), 0], (-0.663342+0.09990600000000002j), green
2, [1, 0], [(-0.30902-0.95106j), 0], (-0.47793+0.47073j), orange
2, [1, 0], [(-0.80902-0.58779j), 0], (-0.10996800000000001+0.6617489999999999j), black
2, [1, 0], [(-1-0j), 0], (0.3+0.6j), purple
2, [1, 0], [(-0.80902+0.58779j), 0], (0.59538+0.309075j), cyan
2, [1, 0], [(-0.30902+0.95106j), 0], (0.663342-0.09990600000000002j), magenta
2, [1, 0], [(0.30902+0.95106j), 0], (0.47793-0.47073j), yellow
2, [1, 0], [(0.80902+0.58779j), 0], (0.10996800000000001-0.6617489999999999j), brown
3, [1, 1], [(1+0j), (0.80902-0.58779j)], (0.50902-1.1877900000000001j), blue
3, [1, 1], [(0.80902-0.58779j), (0.30902-0.95106j)], (-0.28636-1.260135j), red
3, [1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j)], (-0.972362-0.851154j), green
3, [1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j)], (-1.28695-0.11706000000000005j), orange
3, [1, 1], [(-0.80902-0.58779j), (-1-0j)], (-1.109968+0.6617489999999999j), black
3, [1, 1], [(-1-0j), (-0.80902+0.58779j)], (-0.50902+1.1877900000000001j), purple
3, [1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j)], (0.28636+1.260135j), cyan
3, [1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j)], (0.972362+0.851154j), magenta
3, [1, 1], [(0.30902+0.95106j), (0.80902+0.58779j)], (1.28695+0.11706000000000005j), yellow
3, [1, 1], [(0.80902+0.58779j), (1+0j)], (1.109968-0.6617489999999999j), brown
4, [1, 0, 0], [(1+0j), 0, 0], (-0.27+0.36j), blue
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (-0.006831000000000004+0.44995050000000003j), red
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (0.2589462+0.3680334j), green
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (0.425817+0.14553900000000003j), orange
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (0.43003979999999997-0.13254389999999996j), black
4, [1, 0, 0], [(-1-0j), 0, 0], (0.27-0.36j), purple
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (0.006831000000000004-0.44995050000000003j), cyan
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (-0.2589462-0.3680334j), magenta
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (-0.425817-0.14553900000000003j), yellow
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (-0.43003979999999997+0.13254389999999996j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902-0.58779j)], (0.5390199999999999-0.22779000000000005j), blue
5, [1, 0, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j)], (0.30218900000000004-0.5011095j), red
5, [1, 0, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j)], (-0.0500738-0.5830266j), green
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-0.38320299999999996-0.442251j), orange
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-1-0j)], (-0.5699602-0.13254389999999996j), black
5, [1, 0, 1], [(-1-0j), 0, (-0.80902+0.58779j)], (-0.5390199999999999+0.22779000000000005j), purple
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (-0.30218900000000004+0.5011095j), cyan
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j)], (0.0500738+0.5830266j), magenta
5, [1, 0, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j)], (0.38320299999999996+0.442251j), yellow
5, [1, 0, 1], [(0.80902+0.58779j), 0, (1+0j)], (0.5699602+0.13254389999999996j), brown
6, [1, 1, 0], [(1+0j), (0.80902-0.58779j), 0], (-0.86538+0.050925j), blue
6, [1, 1, 0], [(0.80902-0.58779j), (0.30902-0.95106j), 0], (-0.670173+0.5498565000000001j), red
6, [1, 1, 0], [(0.30902-0.95106j), (-0.30902-0.95106j), 0], (-0.2189838+0.8387633999999999j), green
6, [1, 1, 0], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0], (0.315849+0.807288j), orange
6, [1, 1, 0], [(-0.80902-0.58779j), (-1-0j), 0], (0.7300397999999999+0.46745610000000004j), black
6, [1, 1, 0], [(-1-0j), (-0.80902+0.58779j), 0], (0.86538-0.050925j), purple
6, [1, 1, 0], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0], (0.670173-0.5498565000000001j), cyan
6, [1, 1, 0], [(-0.30902+0.95106j), (0.30902+0.95106j), 0], (0.2189838-0.8387633999999999j), magenta
6, [1, 1, 0], [(0.30902+0.95106j), (0.80902+0.58779j), 0], (-0.315849-0.807288j), yellow
6, [1, 1, 0], [(0.80902+0.58779j), (1+0j), 0], (-0.7300397999999999-0.46745610000000004j), brown
7, [1, 1, 1], [(1+0j), (0.80902-0.58779j), (0.30902-0.95106j)], (-0.55636-0.900135j), blue
7, [1, 1, 1], [(0.80902-0.58779j), (0.30902-0.95106j), (-0.30902-0.95106j)], (-0.979193-0.40120349999999994j), red
7, [1, 1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), (-0.80902-0.58779j)], (-1.0280038+0.2509733999999999j), green
7, [1, 1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), (-1-0j)], (-0.684151+0.807288j), orange
7, [1, 1, 1], [(-0.80902-0.58779j), (-1-0j), (-0.80902+0.58779j)], (-0.07898020000000006+1.0552461000000002j), black
7, [1, 1, 1], [(-1-0j), (-0.80902+0.58779j), (-0.30902+0.95106j)], (0.55636+0.900135j), purple
7, [1, 1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j), (0.30902+0.95106j)], (0.979193+0.40120349999999994j), cyan
7, [1, 1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j), (0.80902+0.58779j)], (1.0280038-0.2509733999999999j), magenta
7, [1, 1, 1], [(0.30902+0.95106j), (0.80902+0.58779j), (1+0j)], (0.684151-0.807288j), yellow
7, [1, 1, 1], [(0.80902+0.58779j), (1+0j), (0.80902-0.58779j)], (0.07898020000000006-1.0552461000000002j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], (0.297+0.054000000000000006j), blue
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (0.2720196-0.13088655j), red
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (0.14313618-0.26577774j), green
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (-0.0404217-0.2991519j), orange
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (-0.20853827999999996-0.21826071000000002j), black
8, [1, 0, 0, 0], [(-1-0j), 0, 0, 0], (-0.297-0.054000000000000006j), purple
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (-0.2720196+0.13088655j), cyan
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (-0.14313618+0.26577774j), magenta
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (0.0404217+0.2991519j), yellow
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (0.20853827999999996+0.21826071000000002j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902-0.58779j)], (1.10602-0.53379j), blue
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (0.30902-0.95106j)], (0.5810396-1.08194655j), red
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (-0.30902-0.95106j)], (-0.16588382000000002-1.21683774j), green
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (-0.80902-0.58779j)], (-0.8494417-0.8869419000000001j), orange
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-1-0j)], (-1.20853828-0.21826071000000002j), black
9, [1, 0, 0, 1], [(-1-0j), 0, 0, (-0.80902+0.58779j)], (-1.10602+0.53379j), purple
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-0.30902+0.95106j)], (-0.5810396+1.08194655j), cyan
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (0.30902+0.95106j)], (0.16588382000000002+1.21683774j), magenta
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (0.80902+0.58779j)], (0.8494417+0.8869419000000001j), yellow
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (1+0j)], (1.20853828+0.21826071000000002j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902-0.58779j), 0], (-0.29838000000000003-0.255075j), blue
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (0.30902-0.95106j), 0], (-0.3913224-0.030980549999999968j), red
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), 0], (-0.33479382+0.20495226j), green
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), 0], (-0.15038970000000002+0.3625970999999999j), orange
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-1-0j), 0], (0.09146172000000002+0.38173928999999995j), black
10, [1, 0, 1, 0], [(-1-0j), 0, (-0.80902+0.58779j), 0], (0.29838000000000003+0.255075j), purple
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j), 0], (0.3913224+0.030980549999999968j), cyan
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (0.30902+0.95106j), 0], (0.33479382-0.20495226j), magenta
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (0.80902+0.58779j), 0], (0.15038970000000002-0.3625970999999999j), yellow
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (1+0j), 0], (-0.09146172000000002-0.38173928999999995j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902-0.58779j), (0.30902-0.95106j)], (0.010639999999999983-1.206135j), blue
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j), (-0.30902-0.95106j)], (-0.7003424-0.98204055j), red
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), (-0.80902-0.58779j)], (-1.14381382-0.38283774000000004j), green
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), (-1-0j)], (-1.1503897+0.3625970999999999j), orange
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-1-0j), (-0.80902+0.58779j)], (-0.71755828+0.96952929j), black
11, [1, 0, 1, 1], [(-1-0j), 0, (-0.80902+0.58779j), (-0.30902+0.95106j)], (-0.010639999999999983+1.206135j), purple
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j), (0.30902+0.95106j)], (0.7003424+0.98204055j), cyan
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j), (0.80902+0.58779j)], (1.14381382+0.38283774000000004j), magenta
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j), (1+0j)], (1.1503897-0.3625970999999999j), yellow
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (1+0j), (0.80902-0.58779j)], (0.71755828-0.96952929j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902-0.58779j), 0, 0], (0.290169+0.5039505000000001j), blue
12, [1, 1, 0, 0], [(0.80902-0.58779j), (0.30902-0.95106j), 0, 0], (0.5309657999999999+0.23714685000000002j), red
12, [1, 1, 0, 0], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, 0], (0.5689531800000001-0.12023873999999996j), green
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, 0], (0.38961809999999997-0.43169579999999996j), orange
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-1-0j), 0, 0], (0.06146172000000005-0.57826071j), black
12, [1, 1, 0, 0], [(-1-0j), (-0.80902+0.58779j), 0, 0], (-0.290169-0.5039505000000001j), purple
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0, 0], (-0.5309657999999999-0.23714685000000002j), cyan
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (0.30902+0.95106j), 0, 0], (-0.5689531800000001+0.12023873999999996j), magenta
12, [1, 1, 0, 0], [(0.30902+0.95106j), (0.80902+0.58779j), 0, 0], (-0.38961809999999997+0.43169579999999996j), yellow
12, [1, 1, 0, 0], [(0.80902+0.58779j), (1+0j), 0, 0], (-0.06146172000000005+0.57826071j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902-0.58779j), 0, (0.30902-0.95106j)], (0.599189-0.44710949999999994j), blue
13, [1, 1, 0, 1], [(0.80902-0.58779j), (0.30902-0.95106j), 0, (-0.30902-0.95106j)], (0.22194579999999992-0.71391315j), red
13, [1, 1, 0, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-0.2400668199999999-0.70802874j), green
13, [1, 1, 0, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, (-1-0j)], (-0.6103819-0.43169579999999996j), orange
13, [1, 1, 0, 1], [(-0.80902-0.58779j), (-1-0j), 0, (-0.80902+0.58779j)], (-0.7475582799999999+0.009529290000000024j), black
13, [1, 1, 0, 1], [(-1-0j), (-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (-0.599189+0.44710949999999994j), purple
