n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), red
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), green
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), orange
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), black
1, [1], [(-1-0j)], (-1+0j), purple
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), cyan
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), magenta
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), yellow
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), brown
2, [1, 0], [(1+0j), 0], (0.9-0.6j), blue
2, [1, 0], [(0.80902-0.58779j), 0], (0.37544399999999994-1.0144229999999999j), red
2, [1, 0], [(0.30902-0.95106j), 0], (-0.292518-1.041366j), green
2, [1, 0], [(-0.30902-0.95106j), 0], (-0.848754-0.670542j), orange
2, [1, 0], [(-0.80902-0.58779j), 0], (-1.080792-0.043599000000000054j), black
2, [1, 0], [(-1-0j), 0], (-0.9+0.6j), purple
2, [1, 0], [(-0.80902+0.58779j), 0], (-0.37544399999999994+1.0144229999999999j), cyan
2, [1, 0], [(-0.30902+0.95106j), 0], (0.292518+1.041366j), magenta
2, [1, 0], [(0.30902+0.95106j), 0], (0.848754+0.670542j), yellow
2, [1, 0], [(0.80902+0.58779j), 0], (1.080792+0.043599000000000054j), brown
3, [1, 1], [(1+0j), (0.80902-0.58779j)], (1.70902-1.1877900000000001j), blue
3, [1, 1], [(0.80902-0.58779j), (0.30902-0.95106j)], (0.684464-1.9654829999999999j), red
3, [1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j)], (-0.601538-1.992426j), green
3, [1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j)], (-1.6577739999999999-1.258332j), orange
3, [1, 1], [(-0.80902-0.58779j), (-1-0j)], (-2.0807919999999998-0.043599000000000054j), black
3, [1, 1], [(-1-0j), (-0.80902+0.58779j)], (-1.70902+1.1877900000000001j), purple
3, [1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j)], (-0.684464+1.9654829999999999j), cyan
3, [1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j)], (0.601538+1.992426j), magenta
3, [1, 1], [(0.30902+0.95106j), (0.80902+0.58779j)], (1.6577739999999999+1.258332j), yellow
3, [1, 1], [(0.80902+0.58779j), (1+0j)], (2.0807919999999998+0.043599000000000054j), brown
4, [1, 0, 0], [(1+0j), 0, 0], (0.45000000000000007-1.08j), blue
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (-0.27075420000000006-1.1382471j), red
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (-0.8880858-0.7617186j), green
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (-1.1662038000000001-0.09423540000000002j), orange
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (-0.9988722000000001+0.6092361j), black
4, [1, 0, 0], [(-1-0j), 0, 0], (-0.45000000000000007+1.08j), purple
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (0.27075420000000006+1.1382471j), cyan
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (0.8880858+0.7617186j), magenta
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (1.1662038000000001+0.09423540000000002j), yellow
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (0.9988722000000001-0.6092361j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902-0.58779j)], (1.25902-1.66779j), blue
5, [1, 0, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j)], (0.03826579999999996-2.0893071j), red
5, [1, 0, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j)], (-1.1971058-1.7127786j), green
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-1.9752238000000002-0.6820254000000001j), orange
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-1-0j)], (-1.9988722+0.6092361j), black
5, [1, 0, 1], [(-1-0j), 0, (-0.80902+0.58779j)], (-1.25902+1.66779j), purple
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (-0.03826579999999996+2.0893071j), cyan
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j)], (1.1971058+1.7127786j), magenta
5, [1, 0, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j)], (1.9752238000000002+0.6820254000000001j), yellow
5, [1, 0, 1], [(0.80902+0.58779j), 0, (1+0j)], (1.9988722-0.6092361j), brown
6, [1, 1, 0], [(1+0j), (0.80902-0.58779j), 0], (0.8254440000000001-2.094423j), blue
6, [1, 1, 0], [(0.80902-0.58779j), (0.30902-0.95106j), 0], (-0.5632722000000001-2.1796131j), red
6, [1, 1, 0], [(0.30902-0.95106j), (-0.30902-0.95106j), 0], (-1.7368398-1.4322606j), green
6, [1, 1, 0], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0], (-2.2469958-0.13783440000000008j), orange
6, [1, 1, 0], [(-0.80902-0.58779j), (-1-0j), 0], (-1.8988722+1.2092361j), black
6, [1, 1, 0], [(-1-0j), (-0.80902+0.58779j), 0], (-0.8254440000000001+2.094423j), purple
6, [1, 1, 0], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0], (0.5632722000000001+2.1796131j), cyan
6, [1, 1, 0], [(-0.30902+0.95106j), (0.30902+0.95106j), 0], (1.7368398+1.4322606j), magenta
6, [1, 1, 0], [(0.30902+0.95106j), (0.80902+0.58779j), 0], (2.2469958+0.13783440000000008j), yellow
6, [1, 1, 0], [(0.80902+0.58779j), (1+0j), 0], (1.8988722-1.2092361j), brown
7, [1, 1, 1], [(1+0j), (0.80902-0.58779j), (0.30902-0.95106j)], (1.1344640000000001-3.045483j), blue
7, [1, 1, 1], [(0.80902-0.58779j), (0.30902-0.95106j), (-0.30902-0.95106j)], (-0.8722922000000002-3.1306731j), red
7, [1, 1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), (-0.80902-0.58779j)], (-2.5458598-2.0200506000000003j), green
7, [1, 1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), (-1-0j)], (-3.2469958-0.13783440000000008j), orange
7, [1, 1, 1], [(-0.80902-0.58779j), (-1-0j), (-0.80902+0.58779j)], (-2.7078922+1.7970261j), black
7, [1, 1, 1], [(-1-0j), (-0.80902+0.58779j), (-0.30902+0.95106j)], (-1.1344640000000001+3.045483j), purple
7, [1, 1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j), (0.30902+0.95106j)], (0.8722922000000002+3.1306731j), cyan
7, [1, 1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j), (0.80902+0.58779j)], (2.5458598+2.0200506000000003j), magenta
7, [1, 1, 1], [(0.30902+0.95106j), (0.80902+0.58779j), (1+0j)], (3.2469958+0.13783440000000008j), yellow
7, [1, 1, 1], [(0.80902+0.58779j), (1+0j), (0.80902-0.58779j)], (2.7078922-1.7970261j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], (-0.24299999999999994-1.242j), blue
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (-0.92662704-0.86196987j), red
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (-1.25630838-0.15269526000000008j), green
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (-1.10612466+0.61491042j), orange
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (-0.53344332+1.14763581j), black
8, [1, 0, 0, 0], [(-1-0j), 0, 0, 0], (0.24299999999999994+1.242j), purple
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (0.92662704+0.86196987j), cyan
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (1.25630838+0.15269526000000008j), magenta
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (1.10612466-0.61491042j), yellow
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (0.53344332-1.14763581j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902-0.58779j)], (0.56602-1.82979j), blue
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (0.30902-0.95106j)], (-0.61760704-1.81302987j), red
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (-0.30902-0.95106j)], (-1.56532838-1.10375526j), green
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (-0.80902-0.58779j)], (-1.9151446600000002+0.027120419999999923j), orange
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-1-0j)], (-1.53344332+1.14763581j), black
9, [1, 0, 0, 1], [(-1-0j), 0, 0, (-0.80902+0.58779j)], (-0.56602+1.82979j), purple
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-0.30902+0.95106j)], (0.61760704+1.81302987j), cyan
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (0.30902+0.95106j)], (1.56532838+1.10375526j), magenta
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (0.80902+0.58779j)], (1.9151446600000002-0.027120419999999923j), yellow
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (1+0j)], (1.53344332-1.14763581j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902-0.58779j), 0], (0.132444-2.256423j), blue
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (0.30902-0.95106j), 0], (-1.21914504-1.90333587j), red
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), 0], (-2.1050623799999997-0.8232372600000001j), green
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), 0], (-2.18691666+0.5713114199999999j), orange
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-1-0j), 0], (-1.43344332+1.7476358099999998j), black
10, [1, 0, 1, 0], [(-1-0j), 0, (-0.80902+0.58779j), 0], (-0.132444+2.256423j), purple
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j), 0], (1.21914504+1.90333587j), cyan
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (0.30902+0.95106j), 0], (2.1050623799999997+0.8232372600000001j), magenta
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (0.80902+0.58779j), 0], (2.18691666-0.5713114199999999j), yellow
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (1+0j), 0], (1.43344332-1.7476358099999998j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902-0.58779j), (0.30902-0.95106j)], (0.441464-3.207483j), blue
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j), (-0.30902-0.95106j)], (-1.52816504-2.8543958700000003j), red
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), (-0.80902-0.58779j)], (-2.9140823799999995-1.41102726j), green
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), (-1-0j)], (-3.18691666+0.5713114199999999j), orange
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-1-0j), (-0.80902+0.58779j)], (-2.24246332+2.33542581j), black
11, [1, 0, 1, 1], [(-1-0j), 0, (-0.80902+0.58779j), (-0.30902+0.95106j)], (-0.441464+3.207483j), purple
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j), (0.30902+0.95106j)], (1.52816504+2.8543958700000003j), cyan
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j), (0.80902+0.58779j)], (2.9140823799999995+1.41102726j), magenta
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j), (1+0j)], (3.18691666-0.5713114199999999j), yellow
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (1+0j), (0.80902-0.58779j)], (2.24246332-2.33542581j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902-0.58779j), 0, 0], (-0.5137541999999999-2.3802471j), blue
12, [1, 1, 0, 0], [(0.80902-0.58779j), (0.30902-0.95106j), 0, 0], (-1.8147128399999999-1.62368847j), red
12, [1, 1, 0, 0], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, 0], (-2.42251218-0.2469306600000001j), green
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, 0], (-2.10499686+1.22414652j), orange
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-1-0j), 0, 0], (-0.9834433200000001+2.2276358099999998j), black
12, [1, 1, 0, 0], [(-1-0j), (-0.80902+0.58779j), 0, 0], (0.5137541999999999+2.3802471j), purple
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0, 0], (1.8147128399999999+1.62368847j), cyan
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (0.30902+0.95106j), 0, 0], (2.42251218+0.2469306600000001j), magenta
12, [1, 1, 0, 0], [(0.30902+0.95106j), (0.80902+0.58779j), 0, 0], (2.10499686-1.22414652j), yellow
12, [1, 1, 0, 0], [(0.80902+0.58779j), (1+0j), 0, 0], (0.9834433200000001-2.2276358099999998j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902-0.58779j), 0, (0.30902-0.95106j)], (-0.20473419999999992-3.3313071j), blue
13, [1, 1, 0, 1], [(0.80902-0.58779j), (0.30902-0.95106j), 0, (-0.30902-0.95106j)], (-2.1237328399999997-2.5747484700000003j), red
13, [1, 1, 0, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-3.23153218-0.8347206600000001j), green
13, [1, 1, 0, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, (-1-0j)], (-3.10499686+1.22414652j), orange
13, [1, 1, 0, 1], [(-0.80902-0.58779j), (-1-0j), 0, (-0.80902+0.58779j)], (-1.79246332+2.81542581j), black
13, [1, 1, 0, 1], [(-1-0j), (-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (0.20473419999999992+3.3313071j), purple
