n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), red
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), green
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), orange
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), black
1, [1], [(-1-0j)], (-1+0j), purple
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), cyan
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), magenta
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), yellow
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), brown
2, [1, 0], [(1+0j), 0], (0.9+0.2j), blue
2, [1, 0], [(0.80902-0.58779j), 0], (0.845676-0.367207j), red
2, [1, 0], [(0.30902-0.95106j), 0], (0.46833-0.79415j), green
2, [1, 0], [(-0.30902-0.95106j), 0], (-0.08790600000000001-0.917758j), orange
2, [1, 0], [(-0.80902-0.58779j), 0], (-0.6105599999999999-0.690815j), black
2, [1, 0], [(-1-0j), 0], (-0.9-0.2j), purple
2, [1, 0], [(-0.80902+0.58779j), 0], (-0.845676+0.367207j), cyan
2, [1, 0], [(-0.30902+0.95106j), 0], (-0.46833+0.79415j), magenta
2, [1, 0], [(0.30902+0.95106j), 0], (0.08790600000000001+0.917758j), yellow
2, [1, 0], [(0.80902+0.58779j), 0], (0.6105599999999999+0.690815j), brown
3, [1, 1], [(1+0j), (0.80902-0.58779j)], (1.70902-0.38779j), blue
3, [1, 1], [(0.80902-0.58779j), (0.30902-0.95106j)], (1.154696-1.318267j), red
3, [1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j)], (0.15931-1.7452100000000002j), green
3, [1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j)], (-0.896926-1.505548j), orange
3, [1, 1], [(-0.80902-0.58779j), (-1-0j)], (-1.61056-0.690815j), black
3, [1, 1], [(-1-0j), (-0.80902+0.58779j)], (-1.70902+0.38779j), purple
3, [1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j)], (-1.154696+1.318267j), cyan
3, [1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j)], (-0.15931+1.7452100000000002j), magenta
3, [1, 1], [(0.30902+0.95106j), (0.80902+0.58779j)], (0.896926+1.505548j), yellow
3, [1, 1], [(0.80902+0.58779j), (1+0j)], (1.61056+0.690815j), brown
4, [1, 0, 0], [(1+0j), 0, 0], (0.77+0.36000000000000004j), blue
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (0.8345498-0.16135110000000003j), red
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (0.580327-0.6210690000000001j), green
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (0.10443620000000003-0.8435634000000001j), orange
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (-0.41134099999999996-0.7438455000000002j), black
4, [1, 0, 0], [(-1-0j), 0, 0], (-0.77-0.36000000000000004j), purple
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (-0.8345498+0.16135110000000003j), cyan
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (-0.580327+0.6210690000000001j), magenta
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (-0.10443620000000003+0.8435634000000001j), yellow
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (0.41134099999999996+0.7438455000000002j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902-0.58779j)], (1.5790199999999999-0.22779j), blue
5, [1, 0, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j)], (1.1435698-1.1124111j), red
5, [1, 0, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j)], (0.271307-1.572129j), green
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-0.7045838-1.4313534j), orange
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-1-0j)], (-1.411341-0.7438455000000002j), black
5, [1, 0, 1], [(-1-0j), 0, (-0.80902+0.58779j)], (-1.5790199999999999+0.22779j), purple
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (-1.1435698+1.1124111j), cyan
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j)], (-0.271307+1.572129j), magenta
5, [1, 0, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j)], (0.7045838+1.4313534j), yellow
5, [1, 0, 1], [(0.80902+0.58779j), 0, (1+0j)], (1.411341+0.7438455000000002j), brown
6, [1, 1, 0], [(1+0j), (0.80902-0.58779j), 0], (1.6156760000000001-0.0072069999999999634j), blue
6, [1, 1, 0], [(0.80902-0.58779j), (0.30902-0.95106j), 0], (1.3028798-0.9555011j), red
6, [1, 1, 0], [(0.30902-0.95106j), (-0.30902-0.95106j), 0], (0.492421-1.538827j), green
6, [1, 1, 0], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0], (-0.5061237999999999-1.5343784j), orange
6, [1, 1, 0], [(-0.80902-0.58779j), (-1-0j), 0], (-1.311341-0.9438455000000001j), black
6, [1, 1, 0], [(-1-0j), (-0.80902+0.58779j), 0], (-1.6156760000000001+0.0072069999999999634j), purple
6, [1, 1, 0], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0], (-1.3028798+0.9555011j), cyan
6, [1, 1, 0], [(-0.30902+0.95106j), (0.30902+0.95106j), 0], (-0.492421+1.538827j), magenta
6, [1, 1, 0], [(0.30902+0.95106j), (0.80902+0.58779j), 0], (0.5061237999999999+1.5343784j), yellow
6, [1, 1, 0], [(0.80902+0.58779j), (1+0j), 0], (1.311341+0.9438455000000001j), brown
7, [1, 1, 1], [(1+0j), (0.80902-0.58779j), (0.30902-0.95106j)], (1.9246960000000002-0.958267j), blue
7, [1, 1, 1], [(0.80902-0.58779j), (0.30902-0.95106j), (-0.30902-0.95106j)], (0.9938597999999998-1.9065611j), red
7, [1, 1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), (-0.80902-0.58779j)], (-0.31659899999999996-2.126617j), green
7, [1, 1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), (-1-0j)], (-1.5061238-1.5343784j), orange
7, [1, 1, 1], [(-0.80902-0.58779j), (-1-0j), (-0.80902+0.58779j)], (-2.120361-0.3560555000000001j), black
7, [1, 1, 1], [(-1-0j), (-0.80902+0.58779j), (-0.30902+0.95106j)], (-1.9246960000000002+0.958267j), purple
7, [1, 1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j), (0.30902+0.95106j)], (-0.9938597999999998+1.9065611j), cyan
7, [1, 1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j), (0.80902+0.58779j)], (0.31659899999999996+2.126617j), magenta
7, [1, 1, 1], [(0.30902+0.95106j), (0.80902+0.58779j), (1+0j)], (1.5061238+1.5343784j), yellow
7, [1, 1, 1], [(0.80902+0.58779j), (1+0j), (0.80902-0.58779j)], (2.120361+0.3560555000000001j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], (0.621+0.4780000000000001j), blue
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (0.7833650400000001+0.021693970000000062j), red
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (0.6465081000000001-0.4428966999999999j), green
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (0.26270526000000005-0.7383198200000001j), orange
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (-0.2214377999999999-0.7517291500000001j), black
8, [1, 0, 0, 0], [(-1-0j), 0, 0, 0], (-0.621-0.4780000000000001j), purple
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (-0.7833650400000001-0.021693970000000062j), cyan
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (-0.6465081000000001+0.4428966999999999j), magenta
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (-0.26270526000000005+0.7383198200000001j), yellow
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (0.2214377999999999+0.7517291500000001j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902-0.58779j)], (1.4300199999999998-0.10978999999999994j), blue
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (0.30902-0.95106j)], (1.0923850400000001-0.92936603j), red
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (-0.30902-0.95106j)], (0.3374881000000001-1.3939567j), green
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (-0.80902-0.58779j)], (-0.5463147399999999-1.32610982j), orange
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-1-0j)], (-1.2214378-0.7517291500000001j), black
9, [1, 0, 0, 1], [(-1-0j), 0, 0, (-0.80902+0.58779j)], (-1.4300199999999998+0.10978999999999994j), purple
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-0.30902+0.95106j)], (-1.0923850400000001+0.92936603j), cyan
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (0.30902+0.95106j)], (-0.3374881000000001+1.3939567j), magenta
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (0.80902+0.58779j)], (0.5463147399999999+1.32610982j), yellow
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (1+0j)], (1.2214378+0.7517291500000001j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902-0.58779j), 0], (1.466676+0.11079300000000009j), blue
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (0.30902-0.95106j), 0], (1.25169504-0.77245603j), red
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), 0], (0.5586021000000001-1.3606547j), green
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), 0], (-0.34785473999999983-1.42913482j), orange
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-1-0j), 0], (-1.1214377999999998-0.95172915j), black
10, [1, 0, 1, 0], [(-1-0j), 0, (-0.80902+0.58779j), 0], (-1.466676-0.11079300000000009j), purple
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j), 0], (-1.25169504+0.77245603j), cyan
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (0.30902+0.95106j), 0], (-0.5586021000000001+1.3606547j), magenta
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (0.80902+0.58779j), 0], (0.34785473999999983+1.42913482j), yellow
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (1+0j), 0], (1.1214377999999998+0.95172915j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902-0.58779j), (0.30902-0.95106j)], (1.7756960000000002-0.8402669999999999j), blue
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j), (-0.30902-0.95106j)], (0.9426750399999999-1.7235160299999999j), red
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), (-0.80902-0.58779j)], (-0.25041789999999986-1.9484447j), green
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), (-1-0j)], (-1.3478547399999998-1.42913482j), orange
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-1-0j), (-0.80902+0.58779j)], (-1.9304577999999997-0.36393915j), black
11, [1, 0, 1, 1], [(-1-0j), 0, (-0.80902+0.58779j), (-0.30902+0.95106j)], (-1.7756960000000002+0.8402669999999999j), purple
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j), (0.30902+0.95106j)], (-0.9426750399999999+1.7235160299999999j), cyan
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j), (0.80902+0.58779j)], (0.25041789999999986+1.9484447j), magenta
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j), (1+0j)], (1.3478547399999998+1.42913482j), yellow
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (1+0j), (0.80902-0.58779j)], (1.9304577999999997+0.36393915j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902-0.58779j), 0, 0], (1.4555498+0.31664890000000007j), blue
12, [1, 1, 0, 0], [(0.80902-0.58779j), (0.30902-0.95106j), 0, 0], (1.36369204-0.59937503j), red
12, [1, 1, 0, 0], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, 0], (0.7509443000000002-1.2864601j), green
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, 0], (-0.1486357399999999-1.4821653200000002j), orange
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-1-0j), 0, 0], (-0.9914377999999999-1.1117291500000002j), black
12, [1, 1, 0, 0], [(-1-0j), (-0.80902+0.58779j), 0, 0], (-1.4555498-0.31664890000000007j), purple
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0, 0], (-1.36369204+0.59937503j), cyan
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (0.30902+0.95106j), 0, 0], (-0.7509443000000002+1.2864601j), magenta
12, [1, 1, 0, 0], [(0.30902+0.95106j), (0.80902+0.58779j), 0, 0], (0.1486357399999999+1.4821653200000002j), yellow
12, [1, 1, 0, 0], [(0.80902+0.58779j), (1+0j), 0, 0], (0.9914377999999999+1.1117291500000002j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902-0.58779j), 0, (0.30902-0.95106j)], (1.7645698-0.6344110999999999j), blue
13, [1, 1, 0, 1], [(0.80902-0.58779j), (0.30902-0.95106j), 0, (-0.30902-0.95106j)], (1.05467204-1.55043503j), red
13, [1, 1, 0, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-0.05807569999999973-1.8742501j), green
13, [1, 1, 0, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, (-1-0j)], (-1.14863574-1.4821653200000002j), orange
13, [1, 1, 0, 1], [(-0.80902-0.58779j), (-1-0j), 0, (-0.80902+0.58779j)], (-1.8004577999999998-0.5239391500000001j), black
13, [1, 1, 0, 1], [(-1-0j), (-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (-1.7645698+0.6344110999999999j), purple
13, [1, 1, 0, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0, (0.30902+0.95106j)], (-1.05467204+1.55043503j), cyan
13, [1, 1, 0, 1], [(-0.30902+0.95106j), (0.30902+0.95106j), 0, (0.80902+0.58779j)], (0.05807569999999973+1.8742501j), magenta
13, [1, 1, 0, 1], [(0.30902+0.95106j), (0.80902+0.58779j), 0, (1+0j)], (1.14863574+1.4821653200000002j), yellow
13, [1, 1, 0, 1], [(0.80902+0.58779j), (1+0j), 0, (0.80902-0.58779j)], (1.8004577999999998+0.5239391500000001j), brown
14, [1, 1, 1, 0], [(1+0j), (0.80902-0.58779j), (0.30902-0.95106j), 0], (1.9238798-0.47750109999999996j), blue
