n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), red
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), green
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), orange
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), black
1, [1], [(-1-0j)], (-1+0j), purple
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), cyan
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), magenta
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), yellow
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), brown
2, [1, 0], [(1+0j), 0], (1+0j), blue
2, [1, 0], [(0.80902-0.58779j), 0], (0.80902-0.58779j), red
2, [1, 0], [(0.30902-0.95106j), 0], (0.30902-0.95106j), green
2, [1, 0], [(-0.30902-0.95106j), 0], (-0.30902-0.95106j), orange
2, [1, 0], [(-0.80902-0.58779j), 0], (-0.80902-0.58779j), black
2, [1, 0], [(-1-0j), 0], (-1+0j), purple
2, [1, 0], [(-0.80902+0.58779j), 0], (-0.80902+0.58779j), cyan
2, [1, 0], [(-0.30902+0.95106j), 0], (-0.30902+0.95106j), magenta
2, [1, 0], [(0.30902+0.95106j), 0], (0.30902+0.95106j), yellow
2, [1, 0], [(0.80902+0.58779j), 0], (0.80902+0.58779j), brown
3, [1, 1], [(1+0j), (0.80902-0.58779j)], (1.8090199999999999-0.58779j), blue
3, [1, 1], [(0.80902-0.58779j), (0.30902-0.95106j)], (1.11804-1.53885j), red
3, [1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j)], -1.90212j, green
3, [1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j)], (-1.11804-1.53885j), orange
3, [1, 1], [(-0.80902-0.58779j), (-1-0j)], (-1.8090199999999999-0.58779j), black
3, [1, 1], [(-1-0j), (-0.80902+0.58779j)], (-1.8090199999999999+0.58779j), purple
3, [1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j)], (-1.11804+1.53885j), cyan
3, [1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j)], 1.90212j, magenta
3, [1, 1], [(0.30902+0.95106j), (0.80902+0.58779j)], (1.11804+1.53885j), yellow
3, [1, 1], [(0.80902+0.58779j), (1+0j)], (1.8090199999999999+0.58779j), brown
4, [1, 0, 0], [(1+0j), 0, 0], (1+0j), blue
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (0.80902-0.58779j), red
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (0.30902-0.95106j), green
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (-0.30902-0.95106j), orange
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (-0.80902-0.58779j), black
4, [1, 0, 0], [(-1-0j), 0, 0], (-1+0j), purple
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (-0.80902+0.58779j), cyan
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (-0.30902+0.95106j), magenta
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (0.30902+0.95106j), yellow
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (0.80902+0.58779j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902-0.58779j)], (1.8090199999999999-0.58779j), blue
5, [1, 0, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j)], (1.11804-1.53885j), red
5, [1, 0, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j)], -1.90212j, green
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-1.11804-1.53885j), orange
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-1-0j)], (-1.8090199999999999-0.58779j), black
5, [1, 0, 1], [(-1-0j), 0, (-0.80902+0.58779j)], (-1.8090199999999999+0.58779j), purple
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (-1.11804+1.53885j), cyan
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j)], 1.90212j, magenta
5, [1, 0, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j)], (1.11804+1.53885j), yellow
5, [1, 0, 1], [(0.80902+0.58779j), 0, (1+0j)], (1.8090199999999999+0.58779j), brown
6, [1, 1, 0], [(1+0j), (0.80902-0.58779j), 0], (1.8090199999999999-0.58779j), blue
6, [1, 1, 0], [(0.80902-0.58779j), (0.30902-0.95106j), 0], (1.11804-1.53885j), red
6, [1, 1, 0], [(0.30902-0.95106j), (-0.30902-0.95106j), 0], -1.90212j, green
6, [1, 1, 0], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0], (-1.11804-1.53885j), orange
6, [1, 1, 0], [(-0.80902-0.58779j), (-1-0j), 0], (-1.8090199999999999-0.58779j), black
6, [1, 1, 0], [(-1-0j), (-0.80902+0.58779j), 0], (-1.8090199999999999+0.58779j), purple
6, [1, 1, 0], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0], (-1.11804+1.53885j), cyan
6, [1, 1, 0], [(-0.30902+0.95106j), (0.30902+0.95106j), 0], 1.90212j, magenta
6, [1, 1, 0], [(0.30902+0.95106j), (0.80902+0.58779j), 0], (1.11804+1.53885j), yellow
6, [1, 1, 0], [(0.80902+0.58779j), (1+0j), 0], (1.8090199999999999+0.58779j), brown
7, [1, 1, 1], [(1+0j), (0.80902-0.58779j), (0.30902-0.95106j)], (2.1180399999999997-1.53885j), blue
7, [1, 1, 1], [(0.80902-0.58779j), (0.30902-0.95106j), (-0.30902-0.95106j)], (0.8090199999999999-2.48991j), red
7, [1, 1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), (-0.80902-0.58779j)], (-0.80902-2.48991j), green
7, [1, 1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), (-1-0j)], (-2.1180399999999997-1.53885j), orange
7, [1, 1, 1], [(-0.80902-0.58779j), (-1-0j), (-0.80902+0.58779j)], (-2.6180399999999997+0j), black
7, [1, 1, 1], [(-1-0j), (-0.80902+0.58779j), (-0.30902+0.95106j)], (-2.1180399999999997+1.53885j), purple
7, [1, 1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j), (0.30902+0.95106j)], (-0.8090199999999999+2.48991j), cyan
7, [1, 1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j), (0.80902+0.58779j)], (0.80902+2.48991j), magenta
7, [1, 1, 1], [(0.30902+0.95106j), (0.80902+0.58779j), (1+0j)], (2.1180399999999997+1.53885j), yellow
7, [1, 1, 1], [(0.80902+0.58779j), (1+0j), (0.80902-0.58779j)], (2.6180399999999997+0j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], (1+0j), blue
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (0.80902-0.58779j), red
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (0.30902-0.95106j), green
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (-0.30902-0.95106j), orange
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (-0.80902-0.58779j), black
8, [1, 0, 0, 0], [(-1-0j), 0, 0, 0], (-1+0j), purple
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (-0.80902+0.58779j), cyan
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (-0.30902+0.95106j), magenta
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (0.30902+0.95106j), yellow
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (0.80902+0.58779j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902-0.58779j)], (1.8090199999999999-0.58779j), blue
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (0.30902-0.95106j)], (1.11804-1.53885j), red
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (-0.30902-0.95106j)], -1.90212j, green
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (-0.80902-0.58779j)], (-1.11804-1.53885j), orange
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-1-0j)], (-1.8090199999999999-0.58779j), black
9, [1, 0, 0, 1], [(-1-0j), 0, 0, (-0.80902+0.58779j)], (-1.8090199999999999+0.58779j), purple
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-0.30902+0.95106j)], (-1.11804+1.53885j), cyan
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (0.30902+0.95106j)], 1.90212j, magenta
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (0.80902+0.58779j)], (1.11804+1.53885j), yellow
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (1+0j)], (1.8090199999999999+0.58779j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902-0.58779j), 0], (1.8090199999999999-0.58779j), blue
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (0.30902-0.95106j), 0], (1.11804-1.53885j), red
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), 0], -1.90212j, green
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), 0], (-1.11804-1.53885j), orange
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-1-0j), 0], (-1.8090199999999999-0.58779j), black
10, [1, 0, 1, 0], [(-1-0j), 0, (-0.80902+0.58779j), 0], (-1.8090199999999999+0.58779j), purple
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j), 0], (-1.11804+1.53885j), cyan
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (0.30902+0.95106j), 0], 1.90212j, magenta
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (0.80902+0.58779j), 0], (1.11804+1.53885j), yellow
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (1+0j), 0], (1.8090199999999999+0.58779j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902-0.58779j), (0.30902-0.95106j)], (2.1180399999999997-1.53885j), blue
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j), (-0.30902-0.95106j)], (0.8090199999999999-2.48991j), red
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), (-0.80902-0.58779j)], (-0.80902-2.48991j), green
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), (-1-0j)], (-2.1180399999999997-1.53885j), orange
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-1-0j), (-0.80902+0.58779j)], (-2.6180399999999997+0j), black
11, [1, 0, 1, 1], [(-1-0j), 0, (-0.80902+0.58779j), (-0.30902+0.95106j)], (-2.1180399999999997+1.53885j), purple
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j), (0.30902+0.95106j)], (-0.8090199999999999+2.48991j), cyan
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j), (0.80902+0.58779j)], (0.80902+2.48991j), magenta
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j), (1+0j)], (2.1180399999999997+1.53885j), yellow
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (1+0j), (0.80902-0.58779j)], (2.6180399999999997+0j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902-0.58779j), 0, 0], (1.8090199999999999-0.58779j), blue
12, [1, 1, 0, 0], [(0.80902-0.58779j), (0.30902-0.95106j), 0, 0], (1.11804-1.53885j), red
12, [1, 1, 0, 0], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, 0], -1.90212j, green
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, 0], (-1.11804-1.53885j), orange
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-1-0j), 0, 0], (-1.8090199999999999-0.58779j), black
12, [1, 1, 0, 0], [(-1-0j), (-0.80902+0.58779j), 0, 0], (-1.8090199999999999+0.58779j), purple
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0, 0], (-1.11804+1.53885j), cyan
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (0.30902+0.95106j), 0, 0], 1.90212j, magenta
12, [1, 1, 0, 0], [(0.30902+0.95106j), (0.80902+0.58779j), 0, 0], (1.11804+1.53885j), yellow
12, [1, 1, 0, 0], [(0.80902+0.58779j), (1+0j), 0, 0], (1.8090199999999999+0.58779j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902-0.58779j), 0, (0.30902-0.95106j)], (2.1180399999999997-1.53885j), blue
13, [1, 1, 0, 1], [(0.80902-0.58779j), (0.30902-0.95106j), 0, (-0.30902-0.95106j)], (0.8090199999999999-2.48991j), red
13, [1, 1, 0, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-0.80902-2.48991j), green
13, [1, 1, 0, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, (-1-0j)], (-2.1180399999999997-1.53885j), orange
13, [1, 1, 0, 1], [(-0.80902-0.58779j), (-1-0j), 0, (-0.80902+0.58779j)], (-2.6180399999999997+0j), black
13, [1, 1, 0, 1], [(-1-0j), (-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (-2.1180399999999997+1.53885j), purple
