1, [1], [(1+0j)], (1+0j), blue
1, [1], [1j], 1j, red
1, [1], [(-1+0j)], (-1+0j), green
1, [1], [(-0-1j)], -1j, orange
2, [1, 0], [(1+0j), 0], (1+0.5j), blue
2, [1, 0], [1j, 0], (-0.5+1j), red
2, [1, 0], [(-1+0j), 0], (-1-0.5j), green
2, [1, 0], [(-0-1j), 0], (0.5-1j), orange
3, [1, 1], [(1+0j), 1j], (1+1.5j), blue
3, [1, 1], [1j, (-1+0j)], (-1.5+1j), red
3, [1, 1], [(-1+0j), (-0-1j)], (-1-1.5j), green
3, [1, 1], [(-0-1j), (1+0j)], (1.5-1j), orange
4, [1, 0, 0], [(1+0j), 0, 0], (0.75+1j), blue
4, [1, 0, 0], [1j, 0, 0], (-1+0.75j), red
4, [1, 0, 0], [(-1+0j), 0, 0], (-0.75-1j), green
4, [1, 0, 0], [(-0-1j), 0, 0], (1-0.75j), orange
5, [1, 0, 1], [(1+0j), 0, 1j], (0.75+2j), blue
5, [1, 0, 1], [1j, 0, (-1+0j)], (-2+0.75j), red
5, [1, 0, 1], [(-1+0j), 0, (-0-1j)], (-0.75-2j), green
5, [1, 0, 1], [(-0-1j), 0, (1+0j)], (2-0.75j), orange
6, [1, 1, 0], [(1+0j), 1j, 0], (0.25+2j), blue
6, [1, 1, 0], [1j, (-1+0j), 0], (-2+0.25j), red
6, [1, 1, 0], [(-1+0j), (-0-1j), 0], (-0.25-2j), green
6, [1, 1, 0], [(-0-1j), (1+0j), 0], (2-0.25j), orange
7, [1, 1, 1], [(1+0j), 1j, (-1+0j)], (-0.75+2j), blue
7, [1, 1, 1], [1j, (-1+0j), (-0-1j)], (-2-0.75j), red
7, [1, 1, 1], [(-1+0j), (-0-1j), (1+0j)], (0.75-2j), green
7, [1, 1, 1], [(-0-1j), (1+0j), 1j], (2+0.75j), orange
