n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), red
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), green
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), orange
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), black
1, [1], [(-1+0j)], (-1+0j), purple
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), cyan
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), magenta
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), yellow
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), brown
2, [1, 0], [(1+0j), 0], (-0.5-0.2j), blue
2, [1, 0], [(0.80902+0.58779j), 0], (-0.286952-0.455699j), red
2, [1, 0], [(0.30902+0.95106j), 0], (0.03570200000000001-0.537334j), green
2, [1, 0], [(-0.30902+0.95106j), 0], (0.34472200000000003-0.413726j), orange
2, [1, 0], [(-0.80902+0.58779j), 0], (0.522068-0.13209100000000001j), black
2, [1, 0], [(-1+0j), 0], (0.5+0.2j), purple
2, [1, 0], [(-0.80902-0.58779j), 0], (0.286952+0.455699j), cyan
2, [1, 0], [(-0.30902-0.95106j), 0], (-0.03570200000000001+0.537334j), magenta
2, [1, 0], [(0.30902-0.95106j), 0], (-0.34472200000000003+0.413726j), yellow
2, [1, 0], [(0.80902-0.58779j), 0], (-0.522068+0.13209100000000001j), brown
3, [1, 1], [(1+0j), (0.80902+0.58779j)], (0.30901999999999996+0.38779j), blue
3, [1, 1], [(0.80902+0.58779j), (0.30902+0.95106j)], (0.022068000000000032+0.495361j), red
3, [1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j)], (-0.273318+0.41372600000000004j), green
3, [1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j)], (-0.46429799999999993+0.17406400000000005j), orange
3, [1, 1], [(-0.80902+0.58779j), (-1+0j)], (-0.477932-0.13209100000000001j), black
3, [1, 1], [(-1+0j), (-0.80902-0.58779j)], (-0.30901999999999996-0.38779j), purple
3, [1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.022068000000000032-0.495361j), cyan
3, [1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j)], (0.273318-0.41372600000000004j), magenta
3, [1, 1], [(0.30902-0.95106j), (0.80902-0.58779j)], (0.46429799999999993-0.17406400000000005j), yellow
3, [1, 1], [(0.80902-0.58779j), (1+0j)], (0.477932+0.13209100000000001j), brown
4, [1, 0, 0], [(1+0j), 0, 0], (0.21+0.2j), blue
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (0.052336199999999986+0.2852399j), red
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (-0.12531780000000003+0.2615266j), green
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (-0.2551062+0.1379186j), orange
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (-0.2874522-0.0383681j), black
4, [1, 0, 0], [(-1+0j), 0, 0], (-0.21-0.2j), purple
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (-0.052336199999999986-0.2852399j), cyan
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (0.12531780000000003-0.2615266j), magenta
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (0.2551062-0.1379186j), yellow
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (0.2874522+0.0383681j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902+0.58779j)], (1.01902+0.78779j), blue
5, [1, 0, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j)], (0.3613562+1.2362999000000001j), red
5, [1, 0, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-0.43433780000000005+1.2125866j), green
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-1.0641262+0.7257086j), orange
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-1+0j)], (-1.2874522-0.0383681j), black
5, [1, 0, 1], [(-1+0j), 0, (-0.80902-0.58779j)], (-1.01902-0.78779j), purple
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-0.3613562-1.2362999000000001j), cyan
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j)], (0.43433780000000005-1.2125866j), magenta
5, [1, 0, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j)], (1.0641262-0.7257086j), yellow
5, [1, 0, 1], [(0.80902-0.58779j), 0, (1+0j)], (1.2874522+0.0383681j), brown
6, [1, 1, 0], [(1+0j), (0.80902+0.58779j), 0], (-0.07695199999999999-0.255699j), blue
6, [1, 1, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0], (0.0880382-0.2520941j), red
6, [1, 1, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0], (0.2194042-0.15219939999999998j), green
6, [1, 1, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0], (0.26696179999999997+0.005827599999999988j), orange
6, [1, 1, 0], [(-0.80902+0.58779j), (-1+0j), 0], (0.2125478+0.1616319j), black
6, [1, 1, 0], [(-1+0j), (-0.80902-0.58779j), 0], (0.07695199999999999+0.255699j), purple
6, [1, 1, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0], (-0.0880382+0.2520941j), cyan
6, [1, 1, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0], (-0.2194042+0.15219939999999998j), magenta
6, [1, 1, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0], (-0.26696179999999997-0.005827599999999988j), yellow
6, [1, 1, 0], [(0.80902-0.58779j), (1+0j), 0], (-0.2125478-0.1616319j), brown
7, [1, 1, 1], [(1+0j), (0.80902+0.58779j), (0.30902+0.95106j)], (0.23206800000000002+0.695361j), blue
7, [1, 1, 1], [(0.80902+0.58779j), (0.30902+0.95106j), (-0.30902+0.95106j)], (-0.2209818+0.6989659j), red
7, [1, 1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), (-0.80902+0.58779j)], (-0.5896158+0.43559060000000005j), green
7, [1, 1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), (-1+0j)], (-0.7330382+0.005827599999999988j), orange
7, [1, 1, 1], [(-0.80902+0.58779j), (-1+0j), (-0.80902-0.58779j)], (-0.5964722-0.42615810000000004j), black
7, [1, 1, 1], [(-1+0j), (-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.23206800000000002-0.695361j), purple
7, [1, 1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j), (0.30902-0.95106j)], (0.2209818-0.6989659j), cyan
7, [1, 1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j), (0.80902-0.58779j)], (0.5896158-0.43559060000000005j), magenta
7, [1, 1, 1], [(0.30902-0.95106j), (0.80902-0.58779j), (1+0j)], (0.7330382-0.005827599999999988j), yellow
7, [1, 1, 1], [(0.80902-0.58779j), (1+0j), (0.80902+0.58779j)], (0.5964722+0.42615810000000004j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], (-0.06499999999999999-0.14200000000000002j), blue
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (0.030879880000000026-0.15308719j), red
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (0.11496422-0.10569973999999999j), green
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (0.15513682-0.017938059999999985j), orange
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (0.13605248+0.07667449000000001j), black
8, [1, 0, 0, 0], [(-1+0j), 0, 0, 0], (0.06499999999999999+0.14200000000000002j), purple
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (-0.030879880000000026+0.15308719j), cyan
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (-0.11496422+0.10569973999999999j), magenta
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (-0.15513682+0.017938059999999985j), yellow
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (-0.13605248-0.07667449000000001j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902+0.58779j)], (0.74402+0.44579j), blue
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (0.30902+0.95106j)], (0.33989988000000004+0.79797281j), red
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (-0.30902+0.95106j)], (-0.19405578+0.8453602600000001j), green
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (-0.80902+0.58779j)], (-0.65388318+0.5698519400000001j), orange
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-1+0j)], (-0.86394752+0.07667449000000001j), black
9, [1, 0, 0, 1], [(-1+0j), 0, 0, (-0.80902-0.58779j)], (-0.74402-0.44579j), purple
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-0.30902-0.95106j)], (-0.33989988000000004-0.79797281j), cyan
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (0.30902-0.95106j)], (0.19405578-0.8453602600000001j), magenta
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (0.80902-0.58779j)], (0.65388318-0.5698519400000001j), yellow
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (1+0j)], (0.86394752-0.07667449000000001j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902+0.58779j), 0], (-0.351952-0.597699j), blue
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (0.30902+0.95106j), 0], (0.06658188000000004-0.69042119j), red
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), 0], (0.45968622000000003-0.51942574j), green
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), 0], (0.67720482-0.15002906j), orange
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-1+0j), 0], (0.63605248+0.27667449j), black
10, [1, 0, 1, 0], [(-1+0j), 0, (-0.80902-0.58779j), 0], (0.351952+0.597699j), purple
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), 0], (-0.06658188000000004+0.69042119j), cyan
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), 0], (-0.45968622000000003+0.51942574j), magenta
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (0.80902-0.58779j), 0], (-0.67720482+0.15002906j), yellow
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (1+0j), 0], (-0.63605248-0.27667449j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902+0.58779j), (0.30902+0.95106j)], (-0.04293199999999997+0.35336100000000004j), blue
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j), (-0.30902+0.95106j)], (-0.24243811999999998+0.26063881j), red
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), (-0.80902+0.58779j)], (-0.3493337799999999+0.06836426000000007j), green
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), (-1+0j)], (-0.32279517999999996-0.15002906j), orange
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-1+0j), (-0.80902-0.58779j)], (-0.17296751999999993-0.31111551000000004j), black
11, [1, 0, 1, 1], [(-1+0j), 0, (-0.80902-0.58779j), (-0.30902-0.95106j)], (0.04293199999999997-0.35336100000000004j), purple
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), (0.30902-0.95106j)], (0.24243811999999998-0.26063881j), cyan
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), (0.80902-0.58779j)], (0.3493337799999999-0.06836426000000007j), magenta
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j), (1+0j)], (0.32279517999999996+0.15002906j), yellow
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (1+0j), (0.80902+0.58779j)], (0.17296751999999993+0.31111551000000004j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902+0.58779j), 0, 0], (-0.012663800000000003+0.14323989999999998j), blue
12, [1, 1, 0, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0, 0], (-0.09443792000000001+0.10843940999999999j), red
12, [1, 1, 0, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, 0], (-0.14014198+0.032218860000000016j), green
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, 0], (-0.13231537999999998-0.05630615999999999j), orange
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-1+0j), 0, 0], (-0.07394751999999999-0.12332551j), black
12, [1, 1, 0, 0], [(-1+0j), (-0.80902-0.58779j), 0, 0], (0.012663800000000003-0.14323989999999998j), purple
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0, 0], (0.09443792000000001-0.10843940999999999j), cyan
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0, 0], (0.14014198-0.032218860000000016j), magenta
12, [1, 1, 0, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0, 0], (0.13231537999999998+0.05630615999999999j), yellow
12, [1, 1, 0, 0], [(0.80902-0.58779j), (1+0j), 0, 0], (0.07394751999999999+0.12332551j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902+0.58779j), 0, (0.30902+0.95106j)], (0.2963562+1.0942999j), blue
13, [1, 1, 0, 1], [(0.80902+0.58779j), (0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-0.40345792+1.05949941j), red
13, [1, 1, 0, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-0.94916198+0.62000886j), green
13, [1, 1, 0, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, (-1+0j)], (-1.13231538-0.05630615999999999j), orange
13, [1, 1, 0, 1], [(-0.80902+0.58779j), (-1+0j), 0, (-0.80902-0.58779j)], (-0.88296752-0.7111155100000001j), black
13, [1, 1, 0, 1], [(-1+0j), (-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-0.2963562-1.0942999j), purple
