n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), red
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), green
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), orange
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), black
1, [1], [(-1+0j)], (-1+0j), purple
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), cyan
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), magenta
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), yellow
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), brown
2, [1, 0], [(1+0j), 0], (0.6+0.1j), blue
2, [1, 0], [(0.80902+0.58779j), 0], (0.42663299999999993+0.43357599999999996j), red
2, [1, 0], [(0.30902+0.95106j), 0], (0.09030599999999998+0.601538j), green
2, [1, 0], [(-0.30902+0.95106j), 0], (-0.280518+0.539734j), orange
2, [1, 0], [(-0.80902+0.58779j), 0], (-0.544191+0.271772j), black
2, [1, 0], [(-1+0j), 0], (-0.6-0.1j), purple
2, [1, 0], [(-0.80902-0.58779j), 0], (-0.42663299999999993-0.43357599999999996j), cyan
2, [1, 0], [(-0.30902-0.95106j), 0], (-0.09030599999999998-0.601538j), magenta
2, [1, 0], [(0.30902-0.95106j), 0], (0.280518-0.539734j), yellow
2, [1, 0], [(0.80902-0.58779j), 0], (0.544191-0.271772j), brown
3, [1, 1], [(1+0j), (0.80902+0.58779j)], (1.40902+0.68779j), blue
3, [1, 1], [(0.80902+0.58779j), (0.30902+0.95106j)], (0.7356529999999999+1.384636j), red
3, [1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j)], (-0.21871400000000002+1.5525980000000001j), green
3, [1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j)], (-1.089538+1.1275240000000002j), orange
3, [1, 1], [(-0.80902+0.58779j), (-1+0j)], (-1.544191+0.271772j), black
3, [1, 1], [(-1+0j), (-0.80902-0.58779j)], (-1.40902-0.68779j), purple
3, [1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.7356529999999999-1.384636j), cyan
3, [1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j)], (0.21871400000000002-1.5525980000000001j), magenta
3, [1, 1], [(0.30902-0.95106j), (0.80902-0.58779j)], (1.089538-1.1275240000000002j), yellow
3, [1, 1], [(0.80902-0.58779j), (1+0j)], (1.544191-0.271772j), brown
4, [1, 0, 0], [(1+0j), 0, 0], (0.35+0.12j), blue
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (0.21262219999999998+0.3028089j), red
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (-0.005970199999999995+0.3699534j), green
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (-0.2222842+0.29578859999999996j), orange
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (-0.3536918+0.10864410000000002j), black
4, [1, 0, 0], [(-1+0j), 0, 0], (-0.35-0.12j), purple
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (-0.21262219999999998-0.3028089j), cyan
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (0.005970199999999995-0.3699534j), magenta
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (0.2222842-0.29578859999999996j), yellow
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (0.3536918-0.10864410000000002j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902+0.58779j)], (1.15902+0.70779j), blue
5, [1, 0, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j)], (0.5216422000000001+1.2538689j), red
5, [1, 0, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-0.3149902+1.3210134j), green
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-1.0313042+0.8835786j), orange
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-1+0j)], (-1.3536918+0.10864410000000002j), black
5, [1, 0, 1], [(-1+0j), 0, (-0.80902-0.58779j)], (-1.15902-0.70779j), purple
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-0.5216422000000001-1.2538689j), cyan
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j)], (0.3149902-1.3210134j), magenta
5, [1, 0, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j)], (1.0313042-0.8835786j), yellow
5, [1, 0, 1], [(0.80902-0.58779j), 0, (1+0j)], (1.3536918-0.10864410000000002j), brown
6, [1, 1, 0], [(1+0j), (0.80902+0.58779j), 0], (0.7766329999999999+0.553576j), blue
6, [1, 1, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0], (0.3029282+0.9043469j), red
6, [1, 1, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0], (-0.28648819999999997+0.9096874j), green
6, [1, 1, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0], (-0.7664751999999999+0.5675606j), orange
6, [1, 1, 0], [(-0.80902+0.58779j), (-1+0j), 0], (-0.9536918+0.008644100000000016j), black
6, [1, 1, 0], [(-1+0j), (-0.80902-0.58779j), 0], (-0.7766329999999999-0.553576j), purple
6, [1, 1, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0], (-0.3029282-0.9043469j), cyan
6, [1, 1, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0], (0.28648819999999997-0.9096874j), magenta
6, [1, 1, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0], (0.7664751999999999-0.5675606j), yellow
6, [1, 1, 0], [(0.80902-0.58779j), (1+0j), 0], (0.9536918-0.008644100000000016j), brown
7, [1, 1, 1], [(1+0j), (0.80902+0.58779j), (0.30902+0.95106j)], (1.085653+1.504636j), blue
7, [1, 1, 1], [(0.80902+0.58779j), (0.30902+0.95106j), (-0.30902+0.95106j)], (-0.006091800000000036+1.8554069j), red
7, [1, 1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), (-0.80902+0.58779j)], (-1.0955081999999998+1.4974774000000002j), green
7, [1, 1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), (-1+0j)], (-1.7664752+0.5675606j), orange
7, [1, 1, 1], [(-0.80902+0.58779j), (-1+0j), (-0.80902-0.58779j)], (-1.7627118-0.5791459j), black
7, [1, 1, 1], [(-1+0j), (-0.80902-0.58779j), (-0.30902-0.95106j)], (-1.085653-1.504636j), purple
7, [1, 1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j), (0.30902-0.95106j)], (0.006091800000000036-1.8554069j), cyan
7, [1, 1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j), (0.80902-0.58779j)], (1.0955081999999998-1.4974774000000002j), magenta
7, [1, 1, 1], [(0.30902-0.95106j), (0.80902-0.58779j), (1+0j)], (1.7664752-0.5675606j), yellow
7, [1, 1, 1], [(0.80902-0.58779j), (1+0j), (0.80902+0.58779j)], (1.7627118+0.5791459j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], (0.19799999999999998+0.10699999999999998j), blue
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (0.09729243+0.20294755999999997j), red
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (-0.040577459999999996+0.22137501999999998j), green
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (-0.16294937999999998+0.15524474j), orange
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (-0.22307949+0.029817280000000015j), black
8, [1, 0, 0, 0], [(-1+0j), 0, 0, 0], (-0.19799999999999998-0.10699999999999998j), purple
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (-0.09729243-0.20294755999999997j), cyan
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (0.040577459999999996-0.22137501999999998j), magenta
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (0.16294937999999998-0.15524474j), yellow
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (0.22307949-0.029817280000000015j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902+0.58779j)], (1.00702+0.69479j), blue
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (0.30902+0.95106j)], (0.40631243+1.15400756j), red
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (-0.30902+0.95106j)], (-0.34959746+1.17243502j), green
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (-0.80902+0.58779j)], (-0.97196938+0.74303474j), orange
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-1+0j)], (-1.22307949+0.029817280000000015j), black
9, [1, 0, 0, 1], [(-1+0j), 0, 0, (-0.80902-0.58779j)], (-1.00702-0.69479j), purple
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-0.30902-0.95106j)], (-0.40631243-1.15400756j), cyan
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (0.30902-0.95106j)], (0.34959746-1.17243502j), magenta
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (0.80902-0.58779j)], (0.97196938-0.74303474j), yellow
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (1+0j)], (1.22307949-0.029817280000000015j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902+0.58779j), 0], (0.6246329999999999+0.540576j), blue
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (0.30902+0.95106j), 0], (0.18759842999999998+0.80448556j), red
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), 0], (-0.32109546+0.76110902j), green
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), 0], (-0.70714038+0.42701674j), orange
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-1+0j), 0], (-0.82307949-0.07018271999999999j), black
10, [1, 0, 1, 0], [(-1+0j), 0, (-0.80902-0.58779j), 0], (-0.6246329999999999-0.540576j), purple
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), 0], (-0.18759842999999998-0.80448556j), cyan
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), 0], (0.32109546-0.76110902j), magenta
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (0.80902-0.58779j), 0], (0.70714038-0.42701674j), yellow
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (1+0j), 0], (0.82307949+0.07018271999999999j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902+0.58779j), (0.30902+0.95106j)], (0.9336529999999998+1.491636j), blue
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j), (-0.30902+0.95106j)], (-0.12142157000000003+1.75554556j), red
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), (-0.80902+0.58779j)], (-1.1301154599999998+1.3488990200000002j), green
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), (-1+0j)], (-1.70714038+0.42701674j), orange
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-1+0j), (-0.80902-0.58779j)], (-1.6320994899999999-0.6579727200000001j), black
11, [1, 0, 1, 1], [(-1+0j), 0, (-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.9336529999999998-1.491636j), purple
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), (0.30902-0.95106j)], (0.12142157000000003-1.75554556j), cyan
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), (0.80902-0.58779j)], (1.1301154599999998-1.3488990200000002j), magenta
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j), (1+0j)], (1.70714038-0.42701674j), yellow
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (1+0j), (0.80902+0.58779j)], (1.6320994899999999+0.6579727200000001j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902+0.58779j), 0, 0], (0.41062219999999994+0.4098089j), blue
12, [1, 1, 0, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0, 0], (0.09132223+0.5729009599999999j), red
12, [1, 1, 0, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, 0], (-0.26286166+0.5171636199999999j), green
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, 0], (-0.5166411799999999+0.26388884j), orange
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-1+0j), 0, 0], (-0.57307949-0.09018271999999998j), black
12, [1, 1, 0, 0], [(-1+0j), (-0.80902-0.58779j), 0, 0], (-0.41062219999999994-0.4098089j), purple
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0, 0], (-0.09132223-0.5729009599999999j), cyan
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0, 0], (0.26286166-0.5171636199999999j), magenta
12, [1, 1, 0, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0, 0], (0.5166411799999999-0.26388884j), yellow
12, [1, 1, 0, 0], [(0.80902-0.58779j), (1+0j), 0, 0], (0.57307949+0.09018271999999998j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902+0.58779j), 0, (0.30902+0.95106j)], (0.7196422+1.3608689j), blue
13, [1, 1, 0, 1], [(0.80902+0.58779j), (0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-0.21769777+1.52396096j), red
13, [1, 1, 0, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-1.0718816599999998+1.1049536199999999j), green
13, [1, 1, 0, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, (-1+0j)], (-1.51664118+0.26388884j), orange
13, [1, 1, 0, 1], [(-0.80902+0.58779j), (-1+0j), 0, (-0.80902-0.58779j)], (-1.3820994899999999-0.67797272j), black
13, [1, 1, 0, 1], [(-1+0j), (-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-0.7196422-1.3608689j), purple
