n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), red
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), green
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), orange
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), black
1, [1], [(-1+0j)], (-1+0j), purple
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), cyan
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), magenta
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), yellow
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), brown
2, [1, 0], [(1+0j), 0], (0.7+0.6j), blue
2, [1, 0], [(0.80902+0.58779j), 0], (0.21364+0.896865j), red
2, [1, 0], [(0.30902+0.95106j), 0], (-0.354322+0.851154j), green
2, [1, 0], [(-0.30902+0.95106j), 0], (-0.78695+0.4803299999999999j), orange
2, [1, 0], [(-0.80902+0.58779j), 0], (-0.9189879999999999-0.07395899999999994j), black
2, [1, 0], [(-1+0j), 0], (-0.7-0.6j), purple
2, [1, 0], [(-0.80902-0.58779j), 0], (-0.21364-0.896865j), cyan
2, [1, 0], [(-0.30902-0.95106j), 0], (0.354322-0.851154j), magenta
2, [1, 0], [(0.30902-0.95106j), 0], (0.78695-0.4803299999999999j), yellow
2, [1, 0], [(0.80902-0.58779j), 0], (0.9189879999999999+0.07395899999999994j), brown
3, [1, 1], [(1+0j), (0.80902+0.58779j)], (1.50902+1.1877900000000001j), blue
3, [1, 1], [(0.80902+0.58779j), (0.30902+0.95106j)], (0.52266+1.847925j), red
3, [1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j)], (-0.6633420000000001+1.802214j), green
3, [1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j)], (-1.5959699999999999+1.06812j), orange
3, [1, 1], [(-0.80902+0.58779j), (-1+0j)], (-1.918988-0.07395899999999994j), black
3, [1, 1], [(-1+0j), (-0.80902-0.58779j)], (-1.50902-1.1877900000000001j), purple
3, [1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.52266-1.847925j), cyan
3, [1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j)], (0.6633420000000001-1.802214j), magenta
3, [1, 1], [(0.30902-0.95106j), (0.80902-0.58779j)], (1.5959699999999999-1.06812j), yellow
3, [1, 1], [(0.80902-0.58779j), (1+0j)], (1.918988+0.07395899999999994j), brown
4, [1, 0, 0], [(1+0j), 0, 0], (0.12999999999999995+0.84j), blue
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (-0.38857100000000006+0.7559895j), red
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (-0.7587178+0.38321459999999996j), green
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (-0.839063-0.13593900000000003j), orange
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (-0.5989161999999999-0.6031641j), black
4, [1, 0, 0], [(-1+0j), 0, 0], (-0.12999999999999995-0.84j), purple
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (0.38857100000000006-0.7559895j), cyan
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (0.7587178-0.38321459999999996j), magenta
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (0.839063+0.13593900000000003j), yellow
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (0.5989161999999999+0.6031641j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902+0.58779j)], (0.93902+1.42779j), blue
5, [1, 0, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j)], (-0.07955100000000004+1.7070495j), red
5, [1, 0, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-1.0677378+1.3342746j), green
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-1.648083+0.451851j), orange
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-1+0j)], (-1.5989162-0.6031641j), black
5, [1, 0, 1], [(-1+0j), 0, (-0.80902-0.58779j)], (-0.93902-1.42779j), purple
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (0.07955100000000004-1.7070495j), cyan
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j)], (1.0677378-1.3342746j), magenta
5, [1, 0, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j)], (1.648083-0.451851j), yellow
5, [1, 0, 1], [(0.80902-0.58779j), 0, (1+0j)], (1.5989162+0.6031641j), brown
6, [1, 1, 0], [(1+0j), (0.80902+0.58779j), 0], (0.34363999999999995+1.7368649999999999j), blue
6, [1, 1, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0], (-0.742893+1.6071434999999998j), red
6, [1, 1, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0], (-1.5456678+0.8635445999999999j), green
6, [1, 1, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0], (-1.758051-0.20989799999999997j), orange
6, [1, 1, 0], [(-0.80902+0.58779j), (-1+0j), 0], (-1.2989161999999999-1.2031641j), black
6, [1, 1, 0], [(-1+0j), (-0.80902-0.58779j), 0], (-0.34363999999999995-1.7368649999999999j), purple
6, [1, 1, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0], (0.742893-1.6071434999999998j), cyan
6, [1, 1, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0], (1.5456678-0.8635445999999999j), magenta
6, [1, 1, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0], (1.758051+0.20989799999999997j), yellow
6, [1, 1, 0], [(0.80902-0.58779j), (1+0j), 0], (1.2989161999999999+1.2031641j), brown
7, [1, 1, 1], [(1+0j), (0.80902+0.58779j), (0.30902+0.95106j)], (0.65266+2.687925j), blue
7, [1, 1, 1], [(0.80902+0.58779j), (0.30902+0.95106j), (-0.30902+0.95106j)], (-1.051913+2.5582035j), red
7, [1, 1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), (-0.80902+0.58779j)], (-2.3546877999999998+1.4513346j), green
7, [1, 1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), (-1+0j)], (-2.758051-0.20989799999999997j), orange
7, [1, 1, 1], [(-0.80902+0.58779j), (-1+0j), (-0.80902-0.58779j)], (-2.1079361999999997-1.7909541j), black
7, [1, 1, 1], [(-1+0j), (-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.65266-2.687925j), purple
7, [1, 1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j), (0.30902-0.95106j)], (1.051913-2.5582035j), cyan
7, [1, 1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j), (0.80902-0.58779j)], (2.3546877999999998-1.4513346j), magenta
7, [1, 1, 1], [(0.30902-0.95106j), (0.80902-0.58779j), (1+0j)], (2.758051+0.20989799999999997j), yellow
7, [1, 1, 1], [(0.80902-0.58779j), (1+0j), (0.80902+0.58779j)], (2.1079361999999997+1.7909541j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], (-0.41300000000000003+0.6659999999999999j), blue
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (-0.7255933999999999+0.29605004999999984j), red
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (-0.76103122-0.18698046000000004j), green
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (-0.5057806999999999-0.5985951j), orange
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (-0.05734287999999993-0.7815645899999999j), black
8, [1, 0, 0, 0], [(-1+0j), 0, 0, 0], (0.41300000000000003-0.6659999999999999j), purple
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (0.7255933999999999-0.29605004999999984j), cyan
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (0.76103122+0.18698046000000004j), magenta
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (0.5057806999999999+0.5985951j), yellow
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (0.05734287999999993+0.7815645899999999j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902+0.58779j)], (0.3960199999999999+1.25379j), blue
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (0.30902+0.95106j)], (-0.4165733999999999+1.2471100499999999j), red
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (-0.30902+0.95106j)], (-1.07005122+0.76407954j), green
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (-0.80902+0.58779j)], (-1.3148006999999997-0.010805100000000012j), orange
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-1+0j)], (-1.05734288-0.7815645899999999j), black
9, [1, 0, 0, 1], [(-1+0j), 0, 0, (-0.80902-0.58779j)], (-0.3960199999999999-1.25379j), purple
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-0.30902-0.95106j)], (0.4165733999999999-1.2471100499999999j), cyan
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (0.30902-0.95106j)], (1.07005122-0.76407954j), magenta
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (0.80902-0.58779j)], (1.3148006999999997+0.010805100000000012j), yellow
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (1+0j)], (1.05734288+0.7815645899999999j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902+0.58779j), 0], (-0.19936000000000004+1.562865j), blue
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (0.30902+0.95106j), 0], (-1.0799154+1.1472040499999998j), red
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), 0], (-1.54798122+0.2933495399999999j), green
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), 0], (-1.4247686999999998-0.6725540999999999j), orange
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-1+0j), 0], (-0.7573428799999999-1.38156459j), black
10, [1, 0, 1, 0], [(-1+0j), 0, (-0.80902-0.58779j), 0], (0.19936000000000004-1.562865j), purple
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), 0], (1.0799154-1.1472040499999998j), cyan
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), 0], (1.54798122-0.2933495399999999j), magenta
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (0.80902-0.58779j), 0], (1.4247686999999998+0.6725540999999999j), yellow
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (1+0j), 0], (0.7573428799999999+1.38156459j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902+0.58779j), (0.30902+0.95106j)], (0.10965999999999998+2.513925j), blue
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j), (-0.30902+0.95106j)], (-1.3889354+2.09826405j), red
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), (-0.80902+0.58779j)], (-2.35700122+0.8811395399999999j), green
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), (-1+0j)], (-2.4247686999999996-0.6725540999999999j), orange
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-1+0j), (-0.80902-0.58779j)], (-1.5663628799999998-1.96935459j), black
11, [1, 0, 1, 1], [(-1+0j), 0, (-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.10965999999999998-2.513925j), purple
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), (0.30902-0.95106j)], (1.3889354-2.09826405j), cyan
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), (0.80902-0.58779j)], (2.35700122-0.8811395399999999j), magenta
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j), (1+0j)], (2.4247686999999996+0.6725540999999999j), yellow
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (1+0j), (0.80902+0.58779j)], (1.5663628799999998+1.96935459j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902+0.58779j), 0, 0], (-0.801571+1.4219895j), blue
12, [1, 1, 0, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0, 0], (-1.4843112+0.6792646499999998j), red
12, [1, 1, 0, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, 0], (-1.60009422-0.32291946000000005j), green
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, 0], (-1.1046968999999998-1.2017592000000001j), orange
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-1+0j), 0, 0], (-0.18734287999999988-1.6215645899999998j), black
12, [1, 1, 0, 0], [(-1+0j), (-0.80902-0.58779j), 0, 0], (0.801571-1.4219895j), purple
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0, 0], (1.4843112-0.6792646499999998j), cyan
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0, 0], (1.60009422+0.32291946000000005j), magenta
12, [1, 1, 0, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0, 0], (1.1046968999999998+1.2017592000000001j), yellow
12, [1, 1, 0, 0], [(0.80902-0.58779j), (1+0j), 0, 0], (0.18734287999999988+1.6215645899999998j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902+0.58779j), 0, (0.30902+0.95106j)], (-0.492551+2.3730495j), blue
13, [1, 1, 0, 1], [(0.80902+0.58779j), (0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-1.7933312000000001+1.63032465j), red
13, [1, 1, 0, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-2.4091142199999998+0.26487054j), green
13, [1, 1, 0, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, (-1+0j)], (-2.1046968999999995-1.2017592000000001j), orange
13, [1, 1, 0, 1], [(-0.80902+0.58779j), (-1+0j), 0, (-0.80902-0.58779j)], (-0.9963628799999998-2.20935459j), black
